Compound_ID,SMILES
M001,Cc1ccccc1C(=O)O
M002,CN(C)C(=O)c1ccc(O)cc1
M003,CC(C)Cc1ccc(O)cc1
M004,COc1ccccc1C(=O)O
M005,Cc1ccccc1O
M006,Cc1ccc(C(=O)O)cc1
M007,Cc1ccc(O)c(C)c1
M008,CC(C)C(=O)Nc1ccc(O)cc1
M009,Cc1ccc(C(=O)N(C)C)cc1
M010,COc1ccc(C(=O)O)cc1
M011,CN1CCC(C(=O)O)CC1
M012,Cc1ccc(O)c(C(=O)O)c1
M013,CC(C)Oc1ccc(C(=O)O)cc1
M014,Cc1ccccc1C(=O)N(C)C
M015,COc1cc(C(=O)O)ccc1O
M016,Cc1ccc(C(=O)O)c(O)c1
M017,CN(C)C(=O)c1ccc(CO)cc1
M018,CC(C)Cc1ccc(C(=O)O)cc1
M019,Cc1ccc(C(=O)O)c(C)c1
M020,COc1ccc(C(=O)O)c(C)c1
M021,Cc1ccc(O)c(C(=O)N(C)C)c1
M022,COc1ccc(C(=O)N(C)C)cc1
M023,Cc1cc(C(=O)O)ccc1O
M024,CN(C)C(=O)c1ccc(CO)cc1
M025,CC(C)Cc1ccc(C(=O)O)c(O)c1
M026,Cc1ccc(C(=O)O)c(C)c1O
M027,COc1cc(C(=O)O)ccc1C
M028,Cc1ccc(C(=O)O)c(CO)c1
M029,CN(C)C(=O)c1ccc(C(=O)O)cc1
M030,Cc1cc(OC(C)C)ccc1C(=O)O
M031,Cc1ccc(C(=O)O)c(CO)c1O
M032,COc1ccc(C(=O)O)c(CO)c1
M033,Cc1ccc(C(=O)O)c(CO)c1C
M034,Cc1cc(C(=O)N(C)C)ccc1CO
M035,Cc1cc(CC(C)C)ccc1C(=O)O
M036,Cc1ccc(C(=O)O)c(CO)c1C
M037,COc1ccc(C(=O)O)c(C)c1O
M038,Cc1ccc(C(=O)O)c(C)c1CO
M039,CN(C)C(=O)c1ccc(CO)c(CO)c1
M040,CC(C)Oc1ccc(C(=O)O)c(CO)c1
M041,Cc1ccc(C(=O)O)c(CO)c1CO
M042,COc1ccc(C(=O)O)c(CO)c1CO
M043,Cc1ccc(C(=O)O)c(CO)c1C(C)O
M044,CC(O)c1cc(C(=O)N(C)C)ccc1CO
M045,CC(C)Cc1ccc(C(=O)O)c(C(C)O)c1
M046,Cc1ccc(C(=O)O)c(CO)c1C(C)O
M047,COc1ccc(C(=O)O)c(C(C)O)c1
M048,Cc1ccc(C(=O)O)c(C(C)O)c1CO
M049,CC(O)c1cc(C(=O)N(C)C)ccc1CO
M050,CC(C)Oc1ccc(C(=O)O)c(C(C)O)c1
M051,Cc1ccc(C(=O)O)c(C(C)O)c1CO
M052,COc1ccc(C(=O)O)c(C(C)O)c1CO
M053,Cc1ccc(C(=O)O)c(C(C)O)c1C(C)O
M054,CC(O)c1cc(C(=O)N(C)C)ccc1CO
M055,CC(C)Cc1ccc(C(=O)O)c(C(C)O)c1
M056,Cc1ccc(C(=O)O)c(C(C)O)c1C(C)O
M057,COc1ccc(C(=O)O)c(C(C)O)c1C(C)O
M058,COCc1c(C)ccc(C(=O)O)c1C(C)O
M059,CC(O)c1c(CO)ccc(C(=O)N(C)C)c1O
M060,CC(C)Oc1ccc(C(=O)O)c(C(C)O)c1O
M061,CC(C)=CCC1=CC(=O)C=CC1
M062,C[C@H](C)C=Cc1ccc(O)cc1
M063,CC(C)=CCc1ccc(C(=O)O)cc1
M064,C/C=C(C)Cc1ccccc1C(=O)O
M065,CC(=C)C(C)(C)c1ccc(O)cc1
M066,C=C(C)C(C)Cc1ccc(O)c(C)c1
M067,CC(C)=CCCc1ccc(CO)cc1
M068,CC(C)=CCCOc1ccc(C(=O)O)cc1
M069,C/C(C)=C/Cc1ccc(CO)c(C)cc1
M070,CC(=C)CCc1ccc(OC)cc1C(=O)O
M071,CC(C)=CCCc1ccc(C(=O)N(C)C)cc1
M072,CC(=C)CCOc1ccc(C(=O)O)c(CO)c1
M073,Cc1ccc(C(=O)O)c(C(C)C)c1
M074,COc1ccc(C(=O)O)c(C(C)C)c1
M075,Cc1ccc(C(=O)O)c(C(C)O)c1
M076,CC(C)Cc1ccc(C(=O)O)c(CO)c1
M077,Cc1ccc(C(=O)O)c(C(C)CO)c1
M078,COc1ccc(C(=O)O)c(C(C)CO)c1
M079,Cc1ccc(C(=O)O)c(C(C)C)c1O
M080,CC(C)Cc1ccc(C(=O)O)c(C(C)O)c1
M081,Cc1ccc(C(=O)O)c(C(C)O)c1O
M082,COc1ccc(C(=O)O)c(C(C)O)c1O
M083,Cc1ccc(C(=O)O)c(C(C)CO)c1O
M084,CC(C)Cc1ccc(C(=O)O)c(C(C)CO)c1
M085,Cc1ccc(C(=O)O)c(C(C)CO)c1CO
M086,COc1ccc(C(=O)O)c(C(C)CO)c1CO
M087,Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)O
M088,CC(C)Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)O
M089,Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(C)O
M090,COc1ccc(C(=O)O)c(C(C)CO)c1C(C)(C)O
M091,Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(CO)O
M092,CC(C)Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(CO)O
M093,Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)O
M094,COc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)O
M095,Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)CO
M096,CC(C)Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)(COC)CO
M097,Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)O
M098,COc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)O
M099,Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)(C)O
M100,CC(C)Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)(C)O
M101,Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)(CO)O
M102,COc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)(CO)O
M103,Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)(COC)O
M104,CC(C)Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)(COC)O
M105,Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)(COC)CO
M106,COc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)(COC)CO
M107,Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)(COC)C(C)O
M108,CC(C)Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)(COC)C(C)O
M109,Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)(COC)C(C)(C)O
M110,COc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)(COC)C(C)(C)O
M111,Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)(COC)C(C)(CO)O
M112,CC(C)Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)(COC)C(C)(CO)O
M113,Cc1ccc(C(=O)O)c(C(C)CO)c1C(C)(COC)C(C)(COC)C(C)(COC)O
